;FSC;FS;FL1;FL6
agaA;8716;5832;141;1543
agaA;8302;5456;132;1544
agaA;9193;5293;148;1588
agaR;7767;3676;176;1284
agaR;7947;3640;183;1459
agaR;8262;3405;179;1228
agaV;8173;5820;146;1335
agaV;8358;5588;142;1597
agaV;8338;5493;146;1245
alr;8440;4926;133;399
alr;8463;4949;135;445
alr;8475;4998;132;524
alsB;8636;3901;161;1842
alsB;8797;3717;181;2096
alsB;9678;3774;181;2186
appA;9127;5009;134;1754
appA;8823;5144;145;1457
appA;9312;5202;146;1583
appB;9810;5170;138;1841
appB;8845;5610;153;1549
appB;9477;5550;146;1740
appY;8223;4314;179;2724
appY;8611;4388;202;3022
appY;8730;4678;182;3226
aqpZ;8677;3994;186;1277
aqpZ;8216;4332;179;1225
aqpZ;8981;4126;186;1503
ascG;7911;3899;209;1197
ascG;7993;3949;202;1217
ascG;8538;4070;198;1393
atoS;8072;5193;134;732
atoS;8820;5057;134;745
atoS;8107;5166;124;798
bglF;8230;5062;125;601
bglf;8534;4917;132;707
bglF;8205;5110;123;772
bipA;9500;4382;172;1315
bipA;8516;4344;171;1314
bipA;8987;4192;171;1642
caiB;8336;5590;134;938
caiB;7713;5905;135;1124
caiB;7929;5589;132;1131
caiC;8999;3926;162;1162
caiC;9672;3776;172;1531
caiC;9295;4046;170;1609
caiT;8333;5986;173;894
caiT;8347;5688;175;1126
caiT;8391;5928;179;1061
casE;8492;5082;124;1392
casE;8806;5160;122;1588
casE;8730;5488;123;1805
cbpM;7658;5475;123;885
cbpM;7677;5374;133;1031
cbpM;7655;5498;135;1036
citT;9190;4624;134;1014
citT;9365;4160;133;1115
citT;9234;4496;124;1213
crcA;7930;4808;162;1402
crcA;8372;5047;164;1452
crcA;8264;4921;157;1587
cstA;8230;3853;123;1345
cstA;8165;3919;123;1464
cstA;8560;4029;125;1714
cynX;8320;5194;222;1387
cynX;8270;5313;182;1330
cynX;8885;5199;243;1408
dcp;8766;5048;134;768
dcp;8096;5235;126;780
dcp;8123;5226;126;874
dcuA;8334;4910;132;722
dcuA;7904;5186;136;788
dcuA;8348;4933;132;724
dnaT;8227;5248;200;1044
dnaT;8235;5128;199;1080
dnaT;8308;5357;186;968
eptA;8886;5281;123;1035
eptA;9110;5358;132;1122
eptA;9436;5249;124;1252
eutQ;8665;5120;135;818
eutQ;8217;5183;133;1022
eutQ;8216;5130;124;1049
fabR;9286;4485;127;760
fabR;9265;4516;137;929
fabR;9304;4539;137;880
fixC;8549;5043;126;758
fixC;8004;5309;126;897
fixC;8568;5053;126;979
fkpA;8655;3690;161;1408
fkpA;8350;3727;162;1569
fkpA;8948;3716;150;1714
flgD;8353;4953;135;804
flgD;8389;5099;124;987
flgD;8405;4991;136;934
flu;8378;4975;126;783
flu;8376;4995;135;965
flu;8615;5076;127;807
fruB;8128;4967;124;1483
fruB;8363;4956;126;1498
fruB;8193;5017;135;1541
fruR;7099;5714;137;1400
fruR;7102;5761;128;1377
fruR;7163;5905;134;1458
fsr;8404;5001;134;799
fsr;8425;5002;125;1022
fsr;8409;5242;126;898
glf;8304;4961;123;689
glf;8319;4987;123;907
glf;8321;5007;124;749
glpX;7903;3949;148;1095
glpX;7808;3908;146;1179
glpX;7828;3909;148;1029
gltD;8358;4873;131;810
gltD;8923;4911;132;994
gltD;8671;4931;131;1072
gltK;8088;5038;130;454
gltK;8129;5058;129;432
gltK;8129;5107;129;533
gltL;7834;5312;133;323
gltL;7800;5350;132;373
