,scale,scale_ratio,scale_ratio_log2,rate_overlap_wt,med_exp,med_exp_overlap_wt,med_model,med_ratio,lifespan_ratio_log2,shape_med,shape_med_overlap_wt,shape_exp,shape_eta,inverse_eta,shape_ratio_log2
yihV%202,14.90637096538577,1.08708051906878,0.12045880343699905,0.0,96.47505361111112,1.0,98.30000000000001,1.4371345029239766,0.4949775427174469,6.971062422718529,0.0,6.472068475629433,7.028315440833082,1626.1028549793857,0.4027362880176837
norW,9.051792465405013,0.6601222574324077,-0.5991948524507266,1.0,101.18909555555555,1.0,101.2,1.47953216374269,0.563803526340233,11.191752145741313,1.0,11.17890141011181,10.656360625198884,61258.01609937292,1.1643359122591388
norV,5.975766863326091,0.4357961947078395,-1.1982744957261018,1.0,111.93116402777778,1.0,112.0,1.6374269005847952,0.7093614665024675,18.764595060981293,1.0,18.730845193227182,17.647510545608156,66587234.603808194,1.9097049977851703
yncI,24.304664833126612,1.7724721680374624,0.8257629739530409,-1.0,84.27427222222222,1.0,84.01589483357694,1.2283025560464464,0.29991386564910527,3.4689313063078884,0.0,3.467411412617327,3.4365825172298328,43.39707356771008,-0.5290970041696842
yecP,12.2817549300752,0.8956745109500347,-0.1589535442463432,0.0,88.13302819444445,1.0,87.1549510378077,1.2741951906112237,0.3645043782906442,7.1028886913638525,1.0,7.175931183794173,7.0305339968619025,1629.7176643174162,0.5085398414299733
bipA,14.541162640262066,1.0604468832518785,0.08467235949339617,0.0,83.73178569444445,1.0,84.90616566641518,1.2413182114972978,0.29059699513735454,5.842917909190978,0.0,5.75825934733754,5.351629661371506,302.89641764532684,0.22720063776480176
pgi3,7.742950408293979,0.5646720163155557,-0.8245149580309208,1.0,117.7733525,1.0,117.9,1.7236842105263157,0.7827628478046111,15.262186276631331,1.0,15.210397366596238,15.47292728116036,7568004.702736668,1.6100104461247855
nirC,7.227740883844021,0.5270992067719859,-0.923853573920246,1.0,109.28074319444444,1.0,108.5,1.5862573099415203,0.6747888973611489,15.069591512411979,1.0,15.119626581898753,14.81573871700074,3922545.1333193304,1.5894803863661897
80%20MG%20yagS,18.972887244100203,1.3836403348235145,0.46846897577757207,-1.0,81.37058680555556,1.0,79.64122736178697,1.1643454292658912,0.24932899700505057,4.212539725855761,0.0,4.288782500979576,4.184530631611692,93.28851867662546,-0.24894984608950804
ssuE%202,6.346902877279282,0.46286212052105175,-1.1113455939825938,1.0,91.65120388888889,1.0,91.0,1.330409356725146,0.42097543372737267,14.445175570642572,1.0,14.440303508815765,15.042554638107244,4921221.182676119,1.5232158141827543
yoaF,19.32194485181424,1.4090961433673792,0.49477005084360937,-1.0,118.4368751388889,1.0,115.89898701407708,1.694429634708729,0.7908680289225846,5.995983245646946,0.0,6.129655997220602,5.835684739938129,492.39043195622094,0.2660296758192069
ycaL,15.120805183376673,1.102718615124551,0.1410646999463296,0.0,65.80312472222222,0.0,64.14967063895455,0.9378606818560605,-0.057022304458653396,4.2472467400608735,0.0,4.3518267661145495,3.8883726993717334,69.0060637543786,-0.23361916689401446
ulaD,8.897178580164967,0.6488466932449684,-0.6240504502874418,0.0,123.59926708333333,1.0,118.7,1.7353801169590641,0.8524198855346243,13.472159142749824,1.0,13.891962038266923,14.949913247763794,4485792.98784947,1.4193021550434506
nagZ,21.622707099826588,1.5768843880468504,0.6570768903721295,-1.0,110.41738736111111,1.0,109.39708460759321,1.5993725819823568,0.6897170674789205,5.059696437237945,0.0,5.106547799558209,4.860308020650306,184.75722608276033,0.020429170750146157
sspA,9.444402689036973,0.6887542381263416,-0.5379388038096737,1.0,91.78089416666667,1.0,91.2,1.3333333333333333,0.42301546438461535,9.677042070565388,1.0,9.71801999434073,9.079488846781086,12656.013807771622,0.9529763030885176
nagK,19.503800260270868,1.4223583567041838,0.5082849911927002,-1.0,80.22639333333333,1.0,81.32788289654209,1.189004135914358,0.228898543003011,4.169725857469391,0.0,4.113372381932871,4.067588521081196,82.83366858538216,-0.2585312577300264
ydjQ,,,,0.0,,0.0,,,,,0.0,,,,
MG-WT,13.712297022997832,1.0,0.0,0.0,68.45606652777778,0.0,68.4,1.0,0.0,5.0065152288577615,0.0,4.992312113205061,4.721129728323899,160.56480794791025,0.0
lsrC,22.80398055821467,1.6630314031244038,0.7338154113817024,-1.0,96.22941166666666,1.0,97.81072272361212,1.429981326368598,0.49129951059173654,4.29090217665409,0.0,4.219851504477887,4.1924913514448345,94.04565701305953,-0.21781910391042955
yfbM,4.3906491795467195,0.320197934174184,-1.6429640948604074,1.0,112.49484194444445,1.0,113.2,1.654970760233918,0.7166085503823634,25.87080245781824,1.0,25.621459912690668,25.07503711897321,111975959686.09795,2.3697698228063917
ptsH,7.943546084937547,0.5793009057209658,-0.7876151742620303,1.0,77.94508944444443,1.0,78.11456511911607,1.14202580583503,0.18727973796844222,9.85442278596172,1.0,9.812379586019263,7.333658476465074,2207.2838336094155,0.9792104252513909
osmY,18.796449362180784,1.3707732067541982,0.45498989820942676,-1.0,97.26096430555556,1.0,97.07766311986875,1.4192640806998353,0.5066824976676206,5.166028868393216,0.0,5.174432810765237,4.858472568762012,184.41577853706298,0.05015315663574286
ydjK,5.505204899658232,0.401479408623156,-1.3166020992719565,1.0,94.49912652777778,1.0,94.5,1.381578947368421,0.46512259655485944,17.17052961703245,1.0,17.16541495733326,16.307875824447706,17441947.910350688,1.7829201034944935
flgD%202,7.519111416750571,0.5483480560652788,-0.866836180966319,1.0,106.10430430555556,1.0,106.2,1.5526315789473684,0.6322328800056749,14.21224715122105,1.0,14.111282360995945,13.97832881712835,1697794.9654838415,1.501551716884575
pfkA,27.005009018547458,1.9694008212668899,0.9777567648731439,-1.0,89.413955,1.0,91.82250947280102,1.3424343490175585,0.3853216152893745,3.398302917377638,-1.0,3.3110137063308924,3.3056746564114943,37.895171373998636,-0.552905229111421
dnaT,7.575577659568921,0.5524659834062375,-0.8560424576809322,0.0,110.50278819444445,1.0,110.80000000000001,1.6198830409356726,0.6908324691353345,15.193195787028575,0.0,14.586714460628006,11.245470787413174,110411.61786418007,1.5519321088442226
yjeL,6.862072281354045,0.5004320041963205,-0.998754037560176,1.0,120.05405069444444,1.0,119.4,1.7456140350877192,0.8104337789042855,17.431093727879016,1.0,17.495305466347407,17.10452095913599,38687760.52319203,1.802488643939083
gspF,6.908747097653571,0.5038358698084237,-0.988974258737032,1.0,113.81768763888888,1.0,112.7,1.6476608187134503,0.7334744717027262,16.371065778065674,1.0,16.474432488279238,16.570947951693192,22690588.857105695,1.7093935440233552
yfjO,12.116664113151808,0.8836348930328829,-0.17847770583250205,0.0,129.1612825,1.0,127.7,1.8669590643274854,0.9159233684319419,10.556854160894579,1.0,10.65980547895227,10.341580843156184,44714.8750288126,1.079168000649328
gspL,18.98106912535326,1.3842370168556597,0.46909099049334413,0.0,95.91589930555556,1.0,93.80000000000001,1.3713450292397662,0.48659158274560516,4.9493255221861645,0.0,5.053240082111046,5.250614025123691,273.6551805831683,-0.013499392863865391
paoB,10.161857247106877,0.7410762201302764,-0.432306162681594,0.0,102.64218,1.0,102.80000000000001,1.5029239766081872,0.5843734141565502,10.136085878037939,1.0,10.100730359031825,10.100306222386743,35128.85231769868,1.0200781969895745
yagQ,9.436024815026778,0.6881432628830149,-0.5392191474966361,1.0,78.75760305555556,1.0,78.86582062991202,1.1530090735367253,0.20224080652166365,8.360417620063986,1.0,8.34648112944074,7.868759264521255,3770.223653687082,0.7446230137343088
ybdG,5.127217632499277,0.37391383981108844,-1.4192222236984924,1.0,119.30273666666666,1.0,116.2,1.698830409356725,0.8013768343003567,22.766624026043004,1.0,23.26851427379575,20.23165665023024,882411950.665367,2.1837640622171235
ybiT,6.193506251692771,0.45167532772264324,-1.146641984619416,1.0,112.25813125,1.0,112.2,1.6403508771929824,0.7135696453443969,18.152127505895827,1.0,18.125134082058658,17.746676042740553,73528889.67075205,1.8606464303423111
