,med_exp,med_model,scale,med_ratio,scale_ratio,rate,rate_L95%,rate_U95%,beta,beta_L95%,beta_U95%,s,s_L95%,s_U95%,model type,lambda,lambda_L95%,lambda_U95%,scale_ratio_log2,lifespan_ratio_log2,shape_ratio_log2,med_exp_U95%,med_exp_L95%,inverse_eta,model_type,shape_exp,shape_med,med_model_L95%,med_model_U95%,shape_med_L95%,shape_med_U95%,shape_eta,scale_ratio_log2_L95%,scale_ratio_log2_U95%,lifespan_ratio_log2_L95%,lifespan_ratio_log2_U95%,shape_ratio_log2_L95%,shape_ratio_log2_U95%,rate_overlap_wt,med_exp_overlap_wt,shape_med_overlap_wt,yield_mean,yield_std
ulaD,123.59926708333333,118.7,8.897178580164967,1.7353801169590641,0.6488466932449684,0.11239518134764229,0.0773937610771573,0.16322603546266887,8096150.801226339,133987.48216198318,489207325.4795141,1.7921483985120341,0.3981747206730357,8.066297822373912,GGM,0.004504932810006846,0.0038932850084485745,0.005212672480600965,-0.6240504502874418,0.8524198855346243,1.4193021550434506,123.67169833333332,116.309155,4631152.660958817,GGM,13.891962038266923,13.48225646485092,108.7,122.5,8.411194410606907,18.92597910722846,14.981803740866951,-1.1623414587830463,-0.0857594417918377,0.7647143567415327,0.8532650814757897,0.748301620732452,1.918286972106694,0.0,1.0,1.0,0.31166149459807135,0.00950135600921318
nagZ,110.41738736111111,109.40085248812849,21.622707099826588,1.5994276679550947,1.5768843880468504,0.046247678210838826,0.04312048677235147,0.04960166037051115,330.3129991658001,258.07355791810323,422.7735623055565,1.788722601942333,1.2224078761169919,2.6173985043868737,GG,0.0,0.0,0.0,0.6570768903721295,0.6897170674789205,0.020478859541874127,112.28380527777777,109.83250430555556,184.88928930571277,GG,5.106547799558209,5.060750906338042,108.30993085743637,110.54683158145741,4.724039644415459,5.417899334115845,4.861017024236552,0.5560694153444481,0.7580843653998106,0.6820547720665735,0.713899559598178,-0.08398798862638748,0.11372452757210126,-1.0,1.0,0.0,0.28258331388311536,0.004255709414914771
sspA,91.78089416666667,91.2,9.444402689036973,1.3333333333333333,0.6887542381263416,0.1058828210661534,0.09180836288625607,0.1221149298873447,5331.0879993176995,2080.162051243346,13662.637119777184,0.42367336350799634,0.32568185835603913,0.5511486573192798,GGM,0.00121176720445972,0.001003899543149811,0.0014626759896682214,-0.5379388038096737,0.42301546438461535,0.9529763030885176,92.77383180555556,90.77508458333332,12608.77222260934,GGM,9.71801999434073,9.670405853278872,90.0,92.2,8.342823277983975,11.049717831816247,9.075749551661898,-0.7437098615919107,-0.3321677460274368,0.4071179715613947,0.43853953207961693,0.7365266252207578,1.1419285633828768,1.0,1.0,1.0,0.3516201412879005,0.009132824425439785
nagK,80.22639333333333,81.33254094779963,19.503800260270868,1.1890722360789419,1.4223583567041838,0.05127205911952423,0.04690584843718789,0.05604469664110807,284.44527520018136,192.13880753982835,421.09720373347955,3.4305409887031626,1.9067975288147012,6.171925071923104,GG,0.0,0.0,0.0,0.5082849911927002,0.228898543003011,-0.25844862979518557,81.96118111111112,79.20184444444445,82.9476381535774,GG,4.113372381932871,4.17139002488522,80.1565491928769,82.5876071248577,3.8165233231812206,4.556626188961532,4.068939938849955,0.3798799685321348,0.6366900138532654,0.21035563027669976,0.25976237686945575,-0.39175005277329683,-0.1360430392641595,-1.0,1.0,0.0,0.328624513075068,0.011603614309666114
ydjQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.28935955558983,0.005656856577012886
MG-WT,68.45606652777778,68.4,13.712297022997832,1.0,1.0,0.07292724175408624,0.06154093240983594,0.08642024716884067,153.7637447675589,85.21132630905477,277.4665086093209,0.9567169814340144,0.7035788473505795,1.3009307855273435,GGM,0.0006559082904834664,0.0001852278074730789,0.0023226301244615825,0.0,0.0,0.0,69.61785166666667,66.90610652777778,160.4169627900643,GGM,4.992312113205061,5.007217281466401,66.0,69.7,4.128445686859516,5.771532983855366,4.72021672950215,-0.2449115274866065,0.24491152748660694,-0.03304050594100328,0.02427889695031661,-0.2784103351046264,0.20494550515185364,0.0,0.0,0.0,,
lsrC,96.22941166666666,97.8053914748215,22.80398055821467,1.4299033841348172,1.6630314031244038,0.0438519931836975,0.039883655651864976,0.04821517172268365,337.4333832556096,231.21948736839335,492.4381133754363,3.586988774701971,2.018761787379371,6.3734555261918295,GG,0.0,0.0,0.0,0.7338154113817024,0.49129951059173654,-0.21789774125812852,96.35418097222222,95.01267930555555,94.15529717051363,GG,4.219851504477887,4.292019360052143,96.16161710663314,99.51715524695041,3.891955101715369,4.717423843346845,4.19363889728237,0.5969706432780506,0.8706601794853541,0.4729416541176509,0.493168871123425,-0.36351399356391073,-0.08600983300839815,-1.0,1.0,0.0,,
yfbM,112.49484194444445,113.2,4.3906491795467195,1.654970760233918,0.320197934174184,0.22775675284155536,0.18424601618173317,0.28154279555094247,31004690222.426556,235570142.50171942,4080698876266.1914,0.2753411328351372,0.20774754410625978,0.36492724742950317,GGM,0.0015473198165354,0.001303878681754855,0.0018362127152971451,-1.6429640948604074,0.7166085503823634,2.3697698228063917,113.59583305555556,112.13630111111111,113946087126.92326,GGM,25.621459912690668,25.893360250295544,110.60000000000001,114.30000000000001,20.505278275177567,31.32836674220512,25.09247833297073,-1.9488244991971488,-1.3371036905236662,0.7120030846002068,0.7306596117266478,2.033914356769317,2.6453885932041086,1.0,1.0,1.0,0.2669214376350035,0.008188653068015618
ptsH,77.94508944444443,78.11330815197499,7.943546084937547,1.1420074291224414,0.5793009057209658,0.12588836135742795,0.1025513180809577,0.15453608809540093,391.30613213446895,150.89344999513028,1014.7590173793498,0.17777470704860268,0.1370347610626349,0.23062649375344432,GG,0.0,0.0,0.0,-0.7876151742620303,0.18727973796844222,0.9791872101845395,82.26605416666666,76.08999833333334,2185.7167074182,GG,9.812379586019263,9.840822707666131,75.56383306733721,80.68051482038891,8.040348773247054,11.896558291819307,7.323845983794344,-1.0834140485675454,-0.4918162999565161,0.15252843306839797,0.2651188495625959,0.6832490232142925,1.2484632924076233,1.0,1.0,1.0,,
osmY,97.26096430555556,97.08591581094305,18.796449362180784,1.4193847340781147,1.3707732067541982,0.05320153720159725,0.049730402764799835,0.05691495349433108,217.1717306191946,183.73794163658914,256.6892834438066,1.1772883568835957,0.9419471307559412,1.4714285228952957,GG,0.0,0.0,0.0,0.45498989820942676,0.5066824976676206,0.05027579669583682,99.12175180555556,95.99834777777778,184.3928776111759,GG,5.174432810765237,5.165883110941937,96.05931262791309,98.15336104261411,4.836859995285092,5.507715825895581,4.858349344157538,0.35765008227322026,0.5523297141456331,0.48783117814958915,0.5340232870900736,-0.04993828155036605,0.1374450640310643,-1.0,1.0,0.0,,
