;FSC;FS;FL1;FL6
yfiD;12848;3886;162;693
yfiD;11186;3888;163;681
yfiD;13416;4007;191;604
yfjO;13649;3916;197;1042
yfjO;12795;3892;225;781
yfjO;13988;3893;192;896
ygcQ;14274;4157;191;1056
ygcQ;13180;4019;192;1028
ygcQ;13407;3852;197;1049
ygfO;13771;3957;210;835
ygfO;12722;3950;222;796
ygfO;12500;4157;193;923
yggE;12591;4255;196;1237
yggE;12597;4324;188;1312
yggE;13111;3922;196;1115
yggF;11905;3713;203;1031
yggF;12483;3694;185;1105
yggF;12986;3818;194;1172
ygjP;12957;3962;186;1087
ygjP;12337;3999;195;892
ygjP;12768;3851;201;880
yhbP;12060;3985;208;745
yhbP;12791;3880;203;724
yhbP;10731;4204;176;598
yhbS;11067;3949;161;1229
yhbS;12109;3907;165;1258
yhbS;11554;3589;160;941
yhbW;12723;3756;160;1134
yhbW;12730;3806;166;1062
yhbW;11071;3748;153;1057
yhdX;12027;3574;154;1136
yhdX;11547;3917;165;969
yhdX;12682;3787;157;967
yiaG;12137;3806;160;1162
yiaG;12928;3924;161;1089
yiaG;12736;3655;173;870
yiaW;12019;3746;176;1150
yiaW;13500;3822;181;1114
yiaW;12043;3891;178;1068
yicH;11856;3634;182;1130
yicH;12233;3859;173;888
yicH;12070;3725;169;902
yicM;12887;3642;167;1080
yicM;12531;3780;181;1097
yicM;11557;3738;196;952
yidH;11998;4693;187;717
yidH;12301;4725;188;697
yidH;11613;4200;180;813
yigL;11339;4108;188;1068
yigL;11385;4137;184;814
yigL;11460;4104;181;1061
yigZ;11752;4047;183;1191
yigZ;11655;3949;192;1078
yigZ;11583;3917;189;1006
yihS;11839;3926;194;824
yihS;11508;4286;193;893
yihS;11267;4007;178;690
yihV;11004;3915;151;791
yihV;12080;4237;149;763
yihV;13046;4199;163;841
yjeL;13661;4358;182;766
yjeL;14599;4369;198;802
yjeL;13816;4228;194;789
yjfC;11787;4481;202;973
yjfC;11306;4924;219;919
yjfC;11511;3804;219;793
yjfF;12134;4081;195;604
yjfF;12015;3857;194;623
yjfF;13004;3722;186;603
yjfJ;11763;3802;177;1028
yjfJ;12520;4053;167;779
yjfJ;12467;3948;178;838
yjfL;13259;3746;180;984
yjfL;12761;3712;180;1046
yjfL;13065;3861;191;1217
yjgB;12246;3840;208;897
yjgB;12758;3862;208;630
yjgB;13205;4095;206;826
yjhG;13066;3901;201;990
yjhG;12453;4002;216;871
yjhG;12547;3895;210;838
ykfF;12657;3940;211;591
ykfF;12806;3876;217;618
ykfF;11278;3639;216;696
ykfI;12005;3963;176;921
ykfI;10664;3623;175;919
ykfI;14015;3800;168;923
yktF;12427;3905;169;866
yktF;12388;3763;169;715
yktF;11570;3661;176;751
ynaA;12257;3785;176;881
ynaA;12349;3769;168;909
ynaA;11035;3966;174;718
yncI;12669;3909;179;675
yncI;11744;3786;174;737
yncI;11952;3796;177;692
yoaF;12733;3840;190;709
yoaF;11836;3763;179;661
yoaF;12187;3776;172;619
yobH;12826;3668;183;933
yobH;11954;3718;189;900
yobH;10391;4263;154;994
yphG;12326;4235;172;1293
yphG;11511;4179;159;1022
yphG;13386;4050;179;1050
yqjE;13929;4050;189;1164
yqjE;14410;4030;199;871
yqjE;14672;4095;182;1138
ytfF;13544;4073;190;1010
ytfF;13428;3959;195;899
ytfF;14227;4285;194;915
ytfL;13669;4134;203;707
ytfL;12097;4014;225;595
ytfL;13179;3890;211;611
zapE;11458;3752;205;697
zapE;12247;3621;167;872
zapE;10386;3820;171;921
