,model type,rate,rate_L95%,rate_U95%,beta,beta_L95%,beta_U95%,s,s_L95%,s_U95%,lambda,lambda_L95%,lambda_U95%
ytfF,GGM,0.08017063271461501,0.06886498332778367,0.09333234452797123,113318.23123605964,48214.33227448016,266332.041214762,2.58344107715839,0.9695839254184707,6.883538004478306,0.0009864570268303676,0.0007809424409954327,0.0012460552976767975
ytfL,GG,0.042681033071518146,0.03411775285160735,0.05339362741664869,65.77483039002539,44.50504552711416,97.20983905523353,0.42771622716497054,0.2419177736051811,0.7562121966234839,0.0,0.0,0.0
cbpM,GG,0.08885875181723539,0.08152168596402298,0.09685616386787718,7994.376117364542,5380.94296231897,11877.10963551004,1.3492467790144622,0.988368040473557,1.8418916801565746,0.0,0.0,0.0
uxuR3,GGM,0.08702827429962308,0.04926099906033454,0.1537508510189561,57256.77545475466,673.293226958839,4869109.333364214,0.6915751769980455,0.15504518899360586,3.0847537324076684,0.0005259568302795659,0.00019703767027892623,0.0014039477168306456
caiT,GGM,0.15226733517296348,0.12812348270934942,0.18096090482704089,9736604.076472634,822118.1700655397,115313664.62126252,0.5348694371672563,0.40785626887727666,0.7014366007003809,0.001129814193310736,0.0009295525002763709,0.0013732200290213527
yobH,GGM,0.07614688302609768,0.07017409837446337,0.08262803411664844,27382539.56304244,8.655958222588464e-06,8.662281559595657e+19,6595.738660912487,2.0708246263094454e-09,2.1007944337897148e+16,0.0019694176761525695,0.001637412925830917,0.002368740298769756
lysC%202,GGM,0.12891223356385373,0.11376780266344289,0.14607264598036904,30033.58290102999,10842.931721316336,83189.31863231689,0.3861594066046975,0.3029268941520052,0.4922609718319228,0.00018147999074732277,9.76681394431221e-05,0.00033721321230684783
yhbW,GGM,0.08861493275285937,0.075827298203717,0.10355909405735436,6990.6283303337905,3041.3643654419398,16068.079513308916,1.0504578362676213,0.6173390623490327,1.7874483133746282,0.0002712694670424807,0.00012363403816498632,0.0005952011666181401
caiC,GGM,0.13032411192111729,0.11249606490816713,0.15097749562967025,339230.11441428977,70175.31296862611,1639851.1906456426,0.42707345782562844,0.33219604458909674,0.5490484951581669,0.0003968235810304869,0.0002780061433591096,0.0005664225709517923
caiB,GGM,0.07316743763313004,0.06491989256217265,0.08246276631882969,16112.082694039482,9160.903115620631,28337.731058078036,2.847089647083508,1.3483753477029128,6.011619444347829,0.00020690343405731904,9.493142398401543e-05,0.00045094689648729583
yhbS,GGM,0.08048566126163198,0.06769492895288952,0.09569316001838657,25213.558058210623,8477.625569054977,74988.39206525887,1.7392188713192334,0.9666747016083795,3.1291625583250156,0.0008843902472068268,0.0006057588518760127,0.001291183953700841
dcp,GG,0.06037216856665084,0.05592749596669828,0.06517006839731176,1859.693178061055,1265.2626139709866,2733.392007586918,2.9442618283813764,1.587249408446215,5.46144649223688,0.0,0.0,0.0
yicM,GGM,0.151220911405301,0.08950150928703393,0.25550143487426913,6067637.988375069,3742.713620973863,9836774727.207842,0.19228204403190027,0.08542137305119393,0.43282357958502604,0.0006688430998199446,0.00042918658210705366,0.0010423231080070624
recF,GG,0.0535981661296449,0.04578220149332638,0.0627484768918282,307.587453383479,210.91283017014322,448.57414033376733,1.0707302801948553,0.6911907080422973,1.6586787403050498,0.0,0.0,0.0
ygjP,GGM,0.09721589898786807,0.0853154443889615,0.11077632055611929,279184.107811366,136954.6000671849,569121.1979458308,4.226170158345789,1.279170224325885,13.962578136701744,0.0013476370194151323,0.0011099497818721933,0.0016362231569024463
glf,GG,0.07628662284528984,0.06573623816966646,0.08853029907368405,3350.756154428803,1578.4966166260756,7112.822851936557,0.6424959257975708,0.45339450507143336,0.9104676171614383,0.0,0.0,0.0
mhpB,GGM,0.13466466164269175,0.118400447588931,0.15316302822014008,523874.60360392946,124856.29938661895,2198083.7302517947,0.33479062429165185,0.26094192223715895,0.4295391141164544,0.00028901989824058955,0.00019169127512770834,0.00043576579853908193
gltL,GG,0.07667023792390423,0.06353450980929093,0.09252177125396611,2305.5529310796787,939.989309056504,5654.930611227383,0.6882069369662512,0.45398882287408077,1.0432609003236109,0.0,0.0,0.0
casE%202,GGM,0.11809138066876636,0.07014007883180559,0.19882461526307485,67023.67442689341,1088.2145005957736,4128021.572238598,0.46344352316681303,0.1576893890854652,1.362044081792092,0.005088582277529554,0.0043628668578468465,0.005935012559142559
fixC,GGM,0.13137272179252055,0.11082245720543521,0.1557337065643818,5178009.501567553,607710.765318799,44119314.52992891,0.6311579879174444,0.42931140165274173,0.9279054881338085,0.000896933833173221,0.0007113705010182655,0.001130901970125622
gltD,GG,0.04768933209371413,0.042677382351039635,0.05328987557947425,476.16298706516886,321.98612628749106,704.1644708889824,1.6225046198949373,0.9304424876368402,2.8293218297313083,0.0,0.0,0.0
ybbP,GGM,0.18751266393297547,0.15339988215034125,0.22921138297082308,93886053.66953723,3416536.721857302,2579978437.593795,0.23310450082784967,0.16628566921795487,0.32677324848107714,0.0005603485471901464,0.0003954335551007609,0.000794041098151368
zapE,GG,0.053687019268798444,0.05028806456202715,0.05731570827135743,559.4146569846145,379.8467537781085,823.8710883706113,2.968510922944432,1.7244015808683437,5.1102116800443795,0.0,0.0,0.0
yggE,GG,0.043536553750417956,0.03958837742613915,0.04787848443648334,177.29440663163138,132.02324693036556,238.08918015356392,2.018744422942207,1.2628392839998395,3.22711614755309,0.0,0.0,0.0
yggF,GGM,0.10765525626513334,0.09403588325413163,0.12324714566875,272383.98614362045,95356.39226470496,778060.4335525988,1.9130592457671922,1.0936605214649078,3.34637266865335,0.0018169991254845153,0.001536432000681855,0.002148800480949578
citT,GGM,0.17206455208694552,0.1491794458662509,0.19846038382140854,13067990.860746695,1636247.5793707536,104368304.21606016,0.36249816587948647,0.28885323421281733,0.45491933169485294,0.0005946743958873387,0.0004520957509807448,0.0007822184489830186
yphG,GGM,0.09733742416798852,0.08574140652457228,0.11050173454926511,20238.449441353565,8082.460235326228,50676.99980755825,0.4880909453906506,0.3714442865834441,0.6413687855145422,0.0001813275119204389,0.00010916476853013886,0.0003011930224555855
napC,GGM,0.17574455497975403,0.14587969302078263,0.2117234274727437,1558083928.1171498,42970063.03134713,56495740424.815956,0.35051672273482865,0.2557655789797079,0.4803694594357924,0.0021836871634109234,0.0019038864134950444,0.002504608254907355
rph,GGM,0.13402332845867204,0.11615992677194714,0.15463381452026714,437792.82961996,95128.6263604256,2014772.7240428731,0.45824240585385995,0.3479415253030528,0.6035097487712581,0.0002695225754675477,0.00017210695506054914,0.00042207718253514827
yjfF%202,GGM,0.106200500231303,0.08684537640424832,0.12986927705718668,65046.33501785365,13109.022914153546,322756.7551725538,0.8405337095236594,0.4716747875737282,1.49784753278798,0.0035073971085515464,0.0029790410401930186,0.00412946122967097
appB,GGM,0.13314375613981574,0.10487122823541681,0.16903835396324574,34755.87300020925,4370.704967810964,276378.91756662715,0.7082526379989939,0.47027405232591474,1.0666584659552811,0.001802461585492297,0.0012924443139779866,0.0025137390694812876
appA,GG,0.04375858104744598,0.040551267539544106,0.04721956997814294,437.99106484743925,164.85171596295731,1163.689269266083,6.611883409884003,2.0805206097867304,21.012530238948532,0.0,0.0,0.0
intG,GGM,0.16371082964742623,0.1362777581039523,0.19666625072746424,1706832.010437777,164413.2302608013,17719227.99177336,0.28616081784239306,0.2150628670090978,0.3807631452470275,0.0004379414486673558,0.0002806602874998752,0.0006833624883996006
yjfL,GG,0.07945788725588858,0.07363757519999478,0.08573823662745955,2535.4114714167918,1774.3240393349615,3622.963555068141,0.6467124945221835,0.5330978584604746,0.7845408566804709,0.0,0.0,0.0
pflD,GG,0.06481954592448246,0.06118621253062287,0.06866863236146967,126.12662345238607,109.53855553518441,145.22672008752448,0.7825776486203726,0.6811046366844835,0.8991684142709687,0.0,0.0,0.0
pflC,GG,0.10798585479810943,0.0986934998802515,0.11815311900608483,7930.771931970109,4652.6137430975305,13518.668625831466,0.8564061653733942,0.6886772170152907,1.0649858917480015,0.0,0.0,0.0
aqpZ2,GGM,0.23641597216055094,0.2137168052780852,0.2615260499514387,105077135850.681,10485001407.513891,1053047496080.4474,0.5730685500329434,0.46513264465515114,0.7060514173980226,0.0002931353713661774,0.00021608091280206652,0.000397667451658252
ykfF,GG,0.07584834629961706,0.06700699794726066,0.08585628087553837,191.52769694088386,130.5517454767841,280.9832879791127,0.5882987256158267,0.47049938231423466,0.7355915938908872,0.0,0.0,0.0
yajQ%202,GGM,0.1171241856070398,0.1037739180952615,0.1321919332516626,171434.11647273262,50069.58779135935,586976.1982713648,0.6562544624198091,0.5245847213420234,0.8209730514913733,0.00023150567019513015,0.00012333860175271633,0.0004345344812644272
ykfI,GGM,0.07495576244912508,0.06461851901982002,0.08694668973466237,51620.34759407708,23705.635786149636,112406.19360608782,2.2026378587000845,0.9412509897927698,5.154431271989471,0.0004066760947685726,0.0002653854328664167,0.0006231896162117714
yjhG,GGM,0.045578784759978196,0.03367647708523469,0.061687735772910146,141.46127744373803,75.52259311439828,264.9709469814153,3.484596141562132,0.878991233866983,13.814028857115089,0.0002769788355863063,1.495414495497965e-06,0.051301679630435644
rsd,GGM,0.07292912022896428,0.0595478853516244,0.08931730398089847,6266.98168331136,1931.7270775783934,20331.577827337358,0.4513642650422257,0.2618650698591283,0.7779949416953779,0.0006341799276999182,0.00047271656490188057,0.0008507934998659352
treC,GG,0.0640554543925074,0.058714526935260115,0.06988221572413862,86.62405431915212,68.69340605223196,109.2350375082851,0.4624059475233972,0.386702716781146,0.5529292943292705,0.0,0.0,0.0
uxaB2,GGM,0.1259167502491995,0.11726343327320739,0.1352086285618065,767859.5181070621,377190.73337450187,1563156.74638328,1.3572448423717338,1.0731795253132277,1.7165008451004662,0.0008727238015366147,0.0007392509830034777,0.0010302953276761992
agaR,GG,0.0727833146820406,0.06964238622906008,0.07606590157151259,421.9520524202831,368.15062137728523,483.61600987012366,1.206595383281073,1.0654134963063457,1.366485804809612,0.0,0.0,0.0
yicH,GGM,0.0702492936323432,0.05274510511207022,0.09356248784332888,21604.224916699197,5928.526048157926,78728.2590073716,2.5572541165283296,0.645893022891155,10.12481693520805,0.0014092917570853324,0.0009966008486329936,0.001992877348351589
agaV,GG,0.06106469270463683,0.05490765045908255,0.06791215183921444,120.96819759406371,94.80406135640766,154.3531428906173,0.6288464868892418,0.5018870758910026,0.7879220706588247,0.0,0.0,0.0
yhdX,GGM,0.13298340797324523,0.11396539718043551,0.15517505518082383,3500439.877769678,476261.86439381307,25727609.64910751,0.5164785218331663,0.3867380582823104,0.6897435041685261,0.001616346208985589,0.0013638151158229328,0.0019156372714974968
yihS,GGM,0.17422816201269448,0.1507191780488143,0.20140404712458237,13795099.641579973,1657833.1373547963,114791271.71071382,1.426974405479168,1.0818316111750097,1.8822300373354648,0.0024845305570993965,0.00204431465250888,0.0030195410875644667
tdcE,GGM,0.053238064845305764,0.04347882081691196,0.06518786607410766,3720.0082978475048,1504.2340457806524,9199.673265520685,3.7455705498427863,0.617862512160483,22.706182148506258,0.00032967090290901324,0.00014500903158067957,0.0007494905871733614
hycA,GG,0.054196598605905845,0.05077251838308089,0.05785159755692703,9042.153676839831,141.4624043653019,577966.587535553,27.391471136461305,0.3410841942980379,2199.7286991375227,0.0,0.0,0.0
yiaW,GGM,0.2387244177013643,0.21211497006925406,0.26867197345028887,768551802.171513,87647310.18274577,6739189957.906545,0.26849089289235456,0.21800849183978957,0.3306630808634256,0.0002758774553749822,0.00020578520653924293,0.0003698437398106237
yjgB,GGM,0.18233562723807847,0.14899327066384727,0.22313948014009607,19019231360.6177,294575329.9069967,1227975070631.032,0.41860263384715135,0.24543566483377965,0.7139474419190251,0.0006319014387309135,0.0004798781341252243,0.0008320850646760269
flu,GG,0.08703487070628156,0.07834022248358617,0.09669450096910658,11787.117574139467,6095.469934093886,22793.34361563722,1.4248077052902348,1.0308414584695893,1.969339688828894,0.0,0.0,0.0
yfiD2,GGM,0.0979999531184097,0.08962056191906476,0.1071628051147877,47767.52766785523,27229.149283941853,83797.57574155829,1.5695471781526278,1.114812137450229,2.2097699349428366,0.0013347505397297578,0.0011679912193568297,0.0015253188326962935
yiaG,GG,0.05617421323618651,0.04852881370185894,0.06502409583079662,381.4088138132444,251.06683822514535,579.4181512891514,1.132326427700364,0.6877904123482511,1.8641771037358772,0.0,0.0,0.0
eutQ,GG,0.057822372333721984,0.05178311731913352,0.06456596117407176,2038.2923077822586,1340.074157700518,3100.3027019739056,1.438673210329415,0.9096576899977186,2.275340085482855,0.0,0.0,0.0
ompL2,GGM,0.17355123390160024,0.14311749808793167,0.21045666107342195,254823023.0983297,10674921.391254323,6082927519.650983,0.6402437743111823,0.38872491797052655,1.054504282062278,0.0015857586449880751,0.0012866027536021934,0.001954473106103672
yqjE,GGM,0.09258693065333005,0.08466466096849087,0.10125050557982938,875227.2158425059,15954.896930218176,48011759.81905571,24.920314866410813,0.23623417038093192,2628.841086112338,0.0009853642133795877,0.0008192802989261009,0.0011851165398238785
crcA,GG,0.05212229036436769,0.04743095956640222,0.0572776342216753,57.48037270985888,48.502957894666515,68.11941766602249,0.9418016036601837,0.7546368336613946,1.175386916052505,0.0,0.0,0.0
ydcP,GG,0.04259537928967862,0.039128905467408846,0.04636895193357247,511.0242985628687,289.3832253524248,902.4221545794024,3.997044984436252,1.858355274160772,8.597047523553794,0.0,0.0,0.0
xdhB,GGM,0.0941469949320065,0.08273328636308258,0.10713531450725035,5886.330949276661,2847.7994580403947,12166.900287372962,1.1038883346546149,0.7649698508518318,1.5929640286209992,0.00024677059536980554,0.00010455815843643617,0.000582410092620257
yagH,GGM,0.10795662415890389,0.08830147403343339,0.13198684197926375,29320.167447221873,5632.957094755624,152614.72876005006,0.2988873316552212,0.19619382255922266,0.4553335872591611,3.706191106940455e-05,4.743660359225334e-06,0.00028956231013570416
yidH,GGM,0.15576269041611776,0.13004743368693808,0.18656281817965795,1853517.5341617547,209520.33633552518,16397106.407577654,0.3133390329262553,0.2240536341073035,0.4382046733869981,0.0003466327147976121,0.00023732395198674893,0.0005062878734409056
yjfC,GG,0.08533218541258979,0.07875645289839313,0.09245695558029846,3021.2663317199517,1988.6877118009077,4589.986750065641,0.5194894577359339,0.43655319016318567,0.618181937000383,0.0,0.0,0.0
fkpA,GG,0.057407941146271534,0.05326941446018412,0.061867991980972585,101.86219368709399,87.61805639385898,118.42201173814537,1.2859578839761596,1.0335304877287597,1.6000376370072178,0.0,0.0,0.0
ygcQ%202,GGM,0.16752086645648182,0.13984734627409098,0.20067052715700756,108968828.0446245,8135445.20666276,1459564311.9437664,0.9012069415787654,0.4720533094465844,1.7205132032691624,0.0006434696407492093,0.00045266716239530816,0.0009146967418067967
eptA,GG,0.06239981392741652,0.05362407779079156,0.07261172478093124,277.34324689294124,179.9044154503369,427.5563576612311,0.6731295708684408,0.4650145343879574,0.9743854990982094,0.0,0.0,0.0
cynX,GG,0.03989419239994777,0.036828821328883335,0.04321470331704224,70.35080739032986,56.58451795229909,87.466258962275,2.355409060461879,1.681416175183023,3.299570876021824,0.0,0.0,0.0
fabR%202,GGM,0.1535437318075403,0.09165456026307783,0.2572231813639839,1838246.7301549073,2318.8031978470963,1457282379.143947,0.24588764662683626,0.11252429890561247,0.5373126991388725,0.0020219250661331276,0.001443874450206286,0.002831396436493058
ascG2,GGM,0.12762222912260512,0.09579202049065892,0.17002912437587614,425510.76030177873,16745.61721840561,10812345.98707955,0.271990395579978,0.1630887780232849,0.4536104579629056,0.0035486757418262734,0.0031112579216134775,0.004047590986637184
ygfO,GG,0.06241444059105518,0.05717110543911191,0.06813865788275143,2197.1395447431746,1529.8990835528361,3155.3860192292386,1.3928054832022998,1.022359917006362,1.8974796270561531,0.0,0.0,0.0
paaC,GGM,0.1821156350024735,0.13922233157000702,0.23822402726876327,39284903.606014304,719808.2570535508,2144048274.2600958,0.29111403647034767,0.17006306857965708,0.49832913717162214,6.178939116089972e-05,1.5419927456770457e-05,0.0002475970701378577
yhbP,GG,0.08469542007099275,0.07643724197237504,0.0938458007628586,3084.0090655297927,1869.6259965706981,5087.173548996109,1.1541075428192318,0.8090028025265754,1.6464272017753492,0.0,0.0,0.0
idnD,GGM,0.10353664436940975,0.08729867362331808,0.12279495532237139,5702.859512502469,2094.259998396748,15529.402578589787,0.8927124060754513,0.6076231758085675,1.3115619543321977,0.0005612026446734766,0.0003271420072941734,0.00096272689341695
nsrR,GGM,0.0736800382640489,0.05873621215306585,0.09242591307121505,61975.24139759379,19816.282146756486,193827.0013438774,4.357513933250962,0.5466521105153417,34.734938936897024,0.0005317674916659981,0.00028726058292729526,0.0009843907657331376
sgcQ,GGM,0.16833409147860057,0.13414124312629339,0.21124275944906293,38047861.53638361,1336636.3176685334,1083046860.5079553,0.43807446833714575,0.25969631413940614,0.7389756009623425,0.00019225354984300175,8.625120358461645e-05,0.0004285323090126468
mtlD,GG,0.13207983522093975,0.10927910850706911,0.1596378586018762,1885948.7281750052,209563.1029678997,16972465.8345498,0.5568659792023756,0.3540566418683912,0.8758477659297514,0.0,0.0,0.0
ssuA,GGM,0.09065322066090195,0.07947951513003344,0.10339779253495707,22950.077099373157,9218.776682926216,57134.04901570797,0.8085996846569323,0.5842189199443367,1.1191582944448057,0.0002891872876619506,0.00018464925890814574,0.0004529088707952923
yeeW,GG,0.0583772484132218,0.052869733563587845,0.06445848886679617,357.78056035587116,281.34064561319906,454.9891079177781,1.5101509058270373,0.9694843056202064,2.352339016887216,0.0,0.0,0.0
rarD%202,GGM,0.1730745959189283,0.1416786576108921,0.21142786258441662,253128614.4847412,13959860.40157992,4589880817.412264,1.248044937042724,0.5353449371738292,2.909556169711587,0.0006953898256663748,0.0004728151222789438,0.0010227401511811718
cstA,GG,0.0404185477037068,0.038057619089295336,0.04292593802685701,2473.7099190059143,12.559484904500545,487220.67902605544,72.64444629772561,0.3317513471083682,15907.141369283758,0.0,0.0,0.0
yigL,GGM,0.09342261873153998,0.07755475260888543,0.1125370837642095,19467.759523046167,5335.375333297139,71034.11422284051,0.8481764241930891,0.5504677530966748,1.3068944411547232,0.0010217492347932887,0.0007626904209446464,0.001368801115277727
fsr,GGM,0.10054975658835875,0.0931420924065358,0.10854655815385952,16021.663278008824,9224.52597709912,27827.30460417871,0.4665555214873133,0.39695264948389103,0.5483627705050307,1.828746575189557e-05,3.532575593535075e-06,9.467069982558687e-05
yafX,GG,0.09508714026484397,0.08119254447088944,0.11135953802984767,242.01374119836046,130.80610657406467,447.7669465352008,0.35705620526255893,0.2813879561961831,0.4530724606692599,0.0,0.0,0.0
