,scale,scale_ratio,scale_ratio_log2,rate_overlap_wt,med_exp,med_exp_overlap_wt,med_model,med_ratio,lifespan_ratio_log2,shape_med,shape_med_overlap_wt,shape_exp,shape_eta,inverse_eta,shape_ratio_log2
yihV%202,14.90637096538577,1.08708051906878,0.12045880343699905,0.0,96.47505361111112,1.0,98.30000000000001,1.4371345029239766,0.4949775427174469,6.981954584115754,0.0,6.472068475629433,7.024055971382567,1619.1851178338575,0.4027362880176837
norW,9.051792465405013,0.6601222574324077,-0.5991948524507266,1.0,101.18909555555555,1.0,101.2,1.47953216374269,0.563803526340233,11.194802645938427,1.0,11.17890141011181,10.659163076063901,61429.933505187015,1.1643359122591388
norV,5.975766863326091,0.4357961947078395,-1.1982744957261018,1.0,111.93116402777778,1.0,112.0,1.6374269005847952,0.7093614665024675,18.76781967517057,1.0,18.730845193227182,17.65153266794201,66855595.94234323,1.9097049977851703
yagQ,9.436024815026778,0.6881432628830149,-0.5392191474966361,1.0,78.75760305555556,1.0,78.86472002082374,1.152992982760581,0.20224080652166365,8.364977446392134,1.0,8.34648112944074,7.873292692764013,3787.361048659258,0.7446028801157072
yncI,24.304664833126612,1.7724721680374624,0.8257629739530409,-1.0,84.27427222222222,1.0,84.0163218466428,1.228308798927526,0.29991386564910527,3.470476794019672,0.0,3.467411412617327,3.4375444012834655,43.44022497610203,-0.5290896716516152
yecP,12.2817549300752,0.8956745109500347,-0.1589535442463432,0.0,88.13302819444445,1.0,87.15903281657873,1.274254865739455,0.3645043782906442,7.101334167451852,1.0,7.175931183794173,7.0289414548676294,1627.1220403144407,0.5086074064280512
bipA,19.834408344083556,1.4464686923582468,0.5325350976413105,-1.0,97.03465083333333,1.0,97.17451277465956,1.420680011325432,0.5033216243768196,4.87436897647739,0.0,4.892238233175127,4.846409819137873,182.18728222359732,-0.02595345372899009
80%20MG%20yagS,18.972887244100203,1.3836403348235145,0.46846897577757207,-1.0,81.37058680555556,1.0,79.6368109267347,1.164280861501969,0.24932899700505057,4.212317282828035,0.0,4.288782500979576,4.184600346704772,93.29512310221878,-0.24902985170758843
ssuE%202,6.346902877279282,0.46286212052105175,-1.1113455939825938,1.0,91.65120388888889,1.0,91.0,1.330409356725146,0.42097543372737267,14.448945391563962,1.0,14.440303508815765,15.041168193559297,4914402.908069963,1.5232158141827543
yoaF,19.32194485181424,1.4090961433673792,0.49477005084360937,-1.0,118.4368751388889,1.0,115.90281370921494,1.694485580544078,0.7908680289225846,5.98979658506401,0.0,6.129655997220602,5.830834623722903,490.0010828935176,0.26607730922051503
ycaL,15.120805183376673,1.102718615124551,0.1410646999463296,0.0,65.80312472222222,0.0,64.14539035946001,0.9377981046704679,-0.057022304458653396,4.243328402538744,0.0,4.3518267661145495,3.8853986824650306,68.79685919780661,-0.23371543151955218
ulaD,8.897178580164967,0.6488466932449684,-0.6240504502874418,0.0,123.59926708333333,1.0,118.7,1.7353801169590641,0.8524198855346243,13.460729883391812,1.0,13.891962038266923,14.94783247938055,4476468.792734023,1.4193021550434506
ycaD,23.751353430767946,1.7321206936323597,0.792539460109831,-1.0,96.4998598611111,1.0,94.19176579943442,1.377072599406936,0.4953484495199034,3.981502543431008,0.0,4.06292046229683,3.9525903785523133,73.67854176254836,-0.3309348396032653
nagZ,21.622707099826588,1.5768843880468504,0.6570768903721295,-1.0,110.41738736111111,1.0,109.39697345818519,1.5993709569910113,0.6897170674789205,5.0590597674137365,0.0,5.106547799558209,4.8596477321747775,184.63432100156763,0.020427704945259396
sspA,9.444402689036973,0.6887542381263416,-0.5379388038096737,1.0,91.78089416666667,1.0,91.2,1.3333333333333333,0.42301546438461535,9.671521320452701,1.0,9.71801999434073,9.07610000084863,12613.192236621653,0.9529763030885176
nagK,10.226057374849153,0.7457581583667807,-0.42322023959685007,1.0,77.2266413888889,1.0,77.08242011076032,1.1269359665315837,0.17392023172416632,7.541585324325329,1.0,7.551946811762151,7.119627421892543,1781.713724801477,0.5956257822659348
ydjQ,,,,0.0,,0.0,,,,,0.0,,,,
MG-WT,13.712297022997832,1.0,0.0,0.0,68.45606652777778,0.0,68.4,1.0,0.0,5.00313240027892,0.0,4.992312113205061,4.717891248439864,160.0409985393332,0.0
lsrC,22.98433610743793,1.6761842358642993,0.7451807299202616,-1.0,96.22941166666666,1.0,97.81260080062218,1.430008783634827,0.49129951059173654,4.25878619922296,0.0,4.186738795362725,4.166507988053129,91.59650485803601,-0.22915672133094134
yfbM,4.3906491795467195,0.320197934174184,-1.6429640948604074,1.0,112.49484194444445,1.0,113.2,1.654970760233918,0.7166085503823634,25.888813344211783,1.0,25.621459912690668,25.08993164066284,113656270696.59326,2.3697698228063917
ptsH,7.943546084937547,0.5793009057209658,-0.7876151742620303,1.0,77.94508944444443,1.0,78.11472262426753,1.1420281085419228,0.18727973796844222,9.84614334947182,1.0,9.812379586019263,7.32915708353412,2197.363831291457,0.9792133342053293
yagH,9.262979532669311,0.6755235477421276,-0.5659220342650857,1.0,109.72848777777779,1.0,115.4,1.6871345029239766,0.6806878248816639,12.492010855949195,1.0,11.845917114550435,11.1318026382222,98548.18737092998,1.3204970280246702
osmY,18.796449362180784,1.3707732067541982,0.45498989820942676,-1.0,97.26096430555556,1.0,97.07990134584075,1.4192968033017652,0.5066824976676206,5.1645462411775735,0.0,5.174432810765237,4.857471060575322,184.22973293285742,0.05018641907925593
flgD%202,7.519111416750571,0.5483480560652788,-0.866836180966319,1.0,106.10430430555556,1.0,106.2,1.5526315789473684,0.6322328800056749,14.187653521918389,1.0,14.111282360995945,13.95406190490379,1657090.5715398518,1.501551716884575
pfkA,25.266957338135075,1.8426495061883599,0.88178167933991,-1.0,88.20240361111111,1.0,88.52892920873262,1.2942825907709445,0.3656395735684602,3.50412006478384,-1.0,3.4908201423203584,3.318672528692818,38.40981734323021,-0.509629032802929
hycA,18.45134244072338,1.3456055108620655,0.4282555192053177,-1.0,99.39076,1.0,100.94602309695135,1.4758190511250195,0.5379333381202505,5.460141043422499,0.0,5.386641124855922,5.437351996661375,330.1359154533924,0.1332603254668816
