,scale_ratio_log2,scale,lifespan_ratio_log2,med_exp,shape_ratio_log2,shape_exp,rate_overlap_wt,med_exp_overlap_wt,shape_med_overlap_wt
ptsH,-0.7876151742620303,7.943546084937547,0.18727973796844222,77.94508944444443,0.9792133342053293,9.812379586019263,1.0,1.0,1.0
yagH,-0.5659220342650857,9.262979532669311,0.6806878248816639,109.72848777777779,1.3204970280246702,11.845917114550435,1.0,1.0,1.0
osmY,0.45498989820942676,18.796449362180784,0.5066824976676206,97.26096430555556,0.05018641907925593,5.174432810765237,-1.0,1.0,0.0
flgD%202,-0.866836180966319,7.519111416750571,0.6322328800056749,106.10430430555556,1.501551716884575,14.111282360995945,1.0,1.0,1.0
pfkA,0.88178167933991,25.266957338135075,0.3656395735684602,88.20240361111111,-0.509629032802929,3.4908201423203584,-1.0,1.0,-1.0
hycA,0.4282555192053177,18.45134244072338,0.5379333381202505,99.39076,0.1332603254668816,5.386641124855922,-1.0,1.0,0.0
gspF,-0.988974258737032,6.908747097653571,0.7334744717027262,113.81768763888888,1.7093935440233552,16.474432488279238,1.0,1.0,1.0
yfjO,-0.15867484506379095,12.28412774317997,0.9159676696438899,129.16524875,1.06162287905953,10.514808332379259,0.0,1.0,1.0
gspL,0.46858036410790677,18.974352168951654,0.48786488296489766,96.00059055555556,-0.012988766478427961,5.059492397987871,-1.0,1.0,0.0
ybdK,0.49335666269589035,19.303024682190124,0.544470399058536,99.84213583333334,0.05514307888932098,5.172357051662083,-1.0,1.0,0.0
ydcP,0.7757608930557557,23.47672486255598,0.6832207033775537,109.9213026388889,-0.12152340490222756,4.682139577919024,-1.0,1.0,0.0
80%20MG%20pgi,-0.24470009538771748,11.57305836384291,0.24915195029985632,81.36060166666667,0.5052948175337494,7.03017293344491,0.0,1.0,1.0
ygjP,-0.4147344462513321,10.286383301611947,0.6646502021028935,108.51545319444443,1.081690319169796,10.549427336373835,0.0,1.0,1.0
fruR,0.815886455824461,24.138846232142228,0.06763434977758419,71.74174055555557,-0.6470396635427071,2.9720451369389567,-1.0,1.0,-1.0
ldcC,0.6364398774678386,21.31560705139442,0.5945457595652659,103.36846055555556,-0.03418125444891237,4.84942607106249,-1.0,1.0,0.0
tyrB,0.47609064167748616,19.073385025452957,0.7169271783928255,112.51968986111112,0.2473266115896231,5.899303648039213,-1.0,1.0,0.0
fruB,0.9987120025853607,27.40012106846604,0.19862462234601855,78.56044055555554,-0.7944890002975218,2.8671566946457165,-1.0,1.0,0.0
phnH,0.9989632639308871,27.404893519081643,0.7985640810386029,119.07036444444444,-0.21739687910658564,4.344857766425453,-1.0,1.0,0.0
ybaJ,,,,,,,0.0,0.0,0.0
paoB,-0.42850363195511193,10.188676319119388,0.583894461162189,102.60811,1.0162756662630923,10.070798873790158,0.0,1.0,1.0
ytfF,-0.13661603050152246,12.473395383565448,0.9037976963769441,128.0802473611111,1.0350450473618449,10.268274469184677,0.0,1.0,1.0
ytfL,0.8960241804539183,25.51763183032013,0.7236814365811681,113.04770777777779,-0.18478337765705907,4.430180219288772,-1.0,1.0,0.0
cbpM,-0.2850560465442547,11.253815516751791,0.49744150538211174,96.63996305555555,0.7831699376787531,8.587306492780408,0.0,1.0,1.0
yehA,-0.0053508157323282225,13.66153364206147,0.4708635471330274,94.87591833333335,0.48231606415437384,6.944748724347244,0.0,1.0,0.0
yobH,-0.06232715340021404,13.132513902864178,0.555575575062814,100.61363833333334,0.6174544245806071,7.661414948998432,0.0,1.0,1.0
intG,-1.1666200260139943,6.108331392331451,0.5725093625381048,101.80155972222222,1.7231821009336237,16.66601780152701,1.0,1.0,1.0
lysC%202,-0.821859444854605,7.75721568352683,0.4166259693013898,91.37530819444444,1.2494969809130825,11.77939507193134,1.0,1.0,1.0
yhbW,-0.2810920022161579,11.28477976492887,0.5221598532991891,98.31000527777778,0.8057539926694999,8.711734506623527,0.0,1.0,1.0
caiC,-0.8375742941025112,7.673177167746833,0.6491065889731948,107.35258208333333,1.488500057202026,13.990629922449264,1.0,1.0,1.0
caiB,-0.004743906037196256,13.667281954222796,0.7362311322315583,114.0353751388889,0.744238326514141,8.343676198445241,0.0,1.0,1.0
zapE,0.4312980812047548,18.490296336556035,0.41571162936985856,91.31741541666668,-0.006444847757732962,4.938666950195309,-1.0,1.0,0.0
dcp,0.2725742060225542,16.563923803664608,0.573073562964074,101.84137944444444,0.31491182038890375,6.14838492688025,0.0,1.0,0.0
yicM,0.46539230174170754,18.932469006741428,0.7189935923848207,112.68097055555555,0.27124011750936605,5.951731415243959,-1.0,1.0,0.0
recF,0.4134782030790346,18.263312640312797,0.5971876584210771,103.5579248611111,0.20082121861344493,5.670270607563637,0.0,1.0,0.0
yqjE,-0.3443507308524257,10.80066044898134,0.6329655941254584,106.15820611111111,0.9993007505107352,9.828862467491364,0.0,1.0,1.0
glf,-0.06418702331438221,13.115594852187265,0.7511704446218559,115.22236277777778,0.811154605076854,8.785141968498849,0.0,1.0,1.0
yphG,-0.41653676753437247,10.273540814827431,0.7273612981106611,113.336425,1.1407913099510245,11.031875673908418,0.0,1.0,1.0
gltL,-0.07220882716678688,13.042870702873092,0.6645365544854027,108.50690527777778,0.731031505367952,8.319250244033762,0.0,1.0,1.0
casE%202,-0.6953739334216527,8.468018532232193,0.3827961079078065,89.25756847222223,1.0751829443895151,10.540549496021674,0.0,1.0,0.0
fixC,-0.8491360110436496,7.6119302877755635,0.8095919929947999,119.98402180555556,1.6672976880578363,15.762627516208969,1.0,1.0,1.0
gltD,0.6127912522608235,20.969050227730254,0.7618527522472267,116.07868291666668,0.15176653544648627,5.535714858613858,-1.0,1.0,0.0
ybbP,-1.3624582985658316,5.332973139123233,0.7125723067706853,112.18055375,2.0700192541632485,21.03527447513884,1.0,1.0,1.0
yafV,0.6499754197543832,21.516533783790173,0.7292515064309004,113.48501486111111,0.050732642387356766,5.27431676502685,-1.0,1.0,0.0
uxuR,,,,,,,0.0,0.0,0.0
yggE,0.7442306179174227,22.96920435486697,0.5283495401011781,98.73269708333333,-0.21440011413734855,4.298481373492276,-1.0,1.0,0.0
yggF,-0.7087674749757,8.38976781606134,0.5942887528417419,103.35004777777777,1.3160545223683104,12.31858259294433,1.0,1.0,1.0
citT,-1.2384201760994729,5.8117723137691515,0.6022946353777308,103.92515777777777,1.8443220145129922,17.881835723598474,1.0,1.0,1.0
napC,-1.2689502567883646,5.690076714554264,0.86666972177815,124.826135,2.137655503510424,21.937513545417698,1.0,1.0,1.0
rph,-0.8779544071114977,7.461387591999433,0.6469381437446239,107.19134680555555,1.5044960115840533,14.366141080848399,1.0,1.0,1.0
appB,-0.8684550392603998,7.510678900705557,0.20956586413951578,79.15849930555555,1.0835977215174597,10.539459927932663,1.0,1.0,1.0
appA,0.7368918728243941,22.852660576807395,0.38371486386979364,89.31442874999999,-0.35269138441078063,3.9082726691632144,-1.0,1.0,0.0
yjfF%202,-0.54226082683463,9.416151504202109,0.5313926106182572,98.94117333333332,1.058098966900966,10.507602101472056,1.0,1.0,1.0
yjfL,-0.12373260375078513,12.585283028978228,0.6485357655132113,107.31011486111112,0.7670186140783596,8.52663500805062,0.0,1.0,1.0
yjfC,-0.22663216717366838,11.718907645045048,0.6300223569916046,105.9418538888889,0.8577345023839703,9.040249919000164,0.0,1.0,1.0
pflD,0.17002891538303555,15.427445313563949,0.23234232384423892,80.41812625,0.05889505277858103,5.212666427622703,0.0,1.0,0.0
pflC,-0.5663126095579609,9.260472141185547,0.31783258818547655,85.32751222222223,0.8820260331221935,9.214164345112797,1.0,1.0,1.0
ykfF,-0.05665989646627258,13.184203068182763,0.20635360578890183,78.98244361111111,0.28145628158933833,5.990687734605532,0.0,1.0,0.0
yajQ%202,-0.6835092817265465,8.537946239003729,0.6477878500925703,107.25449805555556,1.3371191293972728,12.562095737448779,1.0,1.0,1.0
ykfI,-0.039581564275900566,13.34120242828205,0.9320420003718933,130.61243930555554,0.9682427825556382,9.790154973487988,0.0,1.0,1.0
yjhG,0.7455661303909054,22.9904769459315,0.13649397468459007,75.24899805555556,-0.6735706848375056,3.273050760648615,-1.0,1.0,-1.0
treC,0.3292806005109935,17.227947899564565,0.3018317992022998,84.38638180555556,-0.04275228104337211,4.898225969657617,0.0,1.0,0.0
ybdG,-1.4192222236984924,5.127217632499277,0.8013768343003567,119.30273666666666,2.1837640622171235,23.26851427379575,1.0,1.0,1.0
yicH,-0.06667958745682868,13.092954421588995,0.8234291818927668,121.14035000000001,0.8800482532821163,9.252331146914518,0.0,1.0,1.0
ydgT,-1.08677026187164,6.455944151048823,0.5471961942461127,100.03095361111113,1.6318137523230025,15.494395749204282,1.0,1.0,1.0
yhdX,-0.8159441010768952,7.7890871443196765,0.8121571952044484,120.19755069444446,1.6160492840551113,15.431532407761102,1.0,1.0,1.0
yihS,-1.2564481033456727,5.739600237114014,0.4042446886097592,90.5944761111111,1.6330114548098806,15.784109061341844,1.0,1.0,1.0
tdcE,0.551099387802874,20.091282409636563,0.8642692305883886,124.61861027777778,0.3129781242666713,6.2026210043220456,-1.0,1.0,0.0
dnaT,-0.8560424576809322,7.575577659568921,0.6908324691353345,110.50278819444445,1.5506294495765864,14.586714460628006,0.0,1.0,0.0
yiaW,,,,,,,0.0,0.0,0.0
yjgB,-1.2995502255618219,5.570659495705971,0.9751858764832987,134.57740236111113,2.2857748469171577,24.158253159226003,1.0,1.0,1.0
yiaG,0.3574475127777349,17.567608123970714,0.5731444723833752,101.84638513888889,0.22102024823134556,5.797396231756852,0.0,1.0,0.0
eutQ,0.3351254711269966,17.297886018995882,0.8497663410461634,123.37214027777779,0.5167929908548166,7.132209111696955,0.0,1.0,1.0
cstA,0.8172001895894401,24.160837338703832,0.20043588535235055,78.65913291666666,-0.6046713396827121,3.255645978405752,-1.0,1.0,-1.0
crcA,0.4845573492810565,19.185649613809545,0.21134974602015516,79.25643875,-0.2655012806025919,4.131027113773223,-1.0,1.0,0.0
alsB,0.7968591026083611,23.822575069444614,0.43027753457065354,92.24405486111111,-0.3459670022178388,3.8721277860270225,-1.0,1.0,0.0
xdhB,-0.36845721667317294,10.621687933026495,0.3956949040200083,90.0591775,0.7675883250426558,8.478800927673174,0.0,1.0,1.0
yagL,0.44156343222110933,18.622331358609234,0.8118108207443473,120.1686961111111,0.35153962402652794,6.4529351238053385,-1.0,1.0,0.0
mhpB,-0.8848415773266307,7.4258531362393985,0.6777255159819833,109.50341166666666,1.58593013516424,14.74623988081205,1.0,1.0,1.0
fkpA,0.32370490161586674,17.161494168857924,0.13433722575307303,75.13658902777777,-0.20393743740795897,4.378207881463157,0.0,1.0,0.0
ygcQ%202,-1.199811074568345,5.969405609896231,0.700183740920497,111.22137236111112,1.8878670682536047,18.631900666412335,1.0,1.0,1.0
eptA,0.4147931214107958,18.27996599472645,0.8138074956186536,120.33512347222222,0.362111218125554,6.582896462003128,0.0,1.0,0.0
cynX,0.8702790883763365,25.06630513972528,0.261426709358123,82.05578833333334,-0.6308291750841696,3.27354940729939,-1.0,1.0,-1.0
fabR%202,-1.0741198828724852,6.512802497554586,0.6316719382803873,106.0630573611111,1.6786351810150417,16.285317634142206,1.0,1.0,1.0
ygfO,0.2245779711142624,16.02193323420275,0.7607340263458706,115.98870555555555,0.540053825402534,7.239370172130614,0.0,1.0,1.0
paaC,-1.320325051190266,5.4910167377250065,0.6876381629470099,110.25839194444444,1.9792881333551988,20.079777063314108,1.0,1.0,1.0
yhbP,-0.2134167565984098,11.826748640703128,0.42856998992250606,92.13494125,0.6353612122124908,7.790386356306493,0.0,1.0,1.0
idnD,-0.505611731429028,9.658416168405912,0.2820342674936422,83.23629013888888,0.8002862169829537,8.618006170739145,1.0,1.0,1.0
nsrR,-0.014815980989727747,13.572197077535117,0.8590175053351667,124.16579597222223,0.8765740471563148,9.148540598319423,0.0,1.0,1.0
sgcQ,-1.2067976500034214,5.94056730408127,0.6999981715481508,111.20706722222222,1.9052890963549918,18.719940626852438,1.0,1.0,1.0
mtlD,-0.8568804907163264,7.571178434067742,0.768798281554271,116.6388648611111,1.6185114754488308,15.405642051213013,1.0,1.0,1.0
ssuA,-0.31390044621699503,11.031047686001216,0.7221607854253271,112.92861430555556,1.0407061741629793,10.237342591571416,0.0,1.0,1.0
yeeW,0.4054365978953904,18.161795835156173,0.4080008507283526,90.83065277777777,0.037636051437543644,5.001193362275053,-1.0,1.0,0.0
rarD%202,-1.2468642450835201,5.777855465676896,0.6757401663208127,109.35282333333333,1.9191241498619107,18.92619571101062,1.0,1.0,1.0
yigL,-0.3962068284315477,10.419336692112047,0.6363714514056968,106.40911625000001,1.0282028629962112,10.212657426701353,0.0,1.0,1.0
hslR,,,,,,,0.0,0.0,0.0
fsr,-0.4498487998493587,10.039041041069428,0.6754386209430396,109.32996930555555,1.128680313372911,10.890479365338761,1.0,1.0,1.0
yafX,-0.5116096181692661,9.61834544553308,0.11352396270727555,74.06040097222223,0.6446008584945337,7.699910695827328,1.0,1.0,1.0
yjeL,-0.7959391229155279,7.897846001142255,0.8104337789042855,120.05405069444444,1.6008815108977408,15.200859915106117,1.0,1.0,1.0
uxaC,,,,,,,0.0,0.0,0.0
yigZ,-0.41293698381686667,10.299207155476681,0.8552352818679705,123.84070458333333,1.2606995154154264,12.024294949488429,1.0,1.0,1.0
