,beta,s,rate,lambda,q=0.1,q=0.25,q=0.5,q=0.75,q=0.9
0,449.7304389598818,3.2997214216511197,0.04479391758881277,0,61.3194087768518,83.42505511815646,104.1354298981438,121.96075275465786,136.6291932198617
1,350.3677122005754,1.7300073673504053,0.049356292211433825,0,63.528781214352286,84.38453765639196,104.48779159909542,122.92428672364797,139.47867309809726
2,336.57434290063026,2.254523344964797,0.04627040277228812,0,61.361492319761055,83.1212976494186,103.85141919998637,122.30622392777147,138.21649840207726
3,442.53376491600153,2.346712264411734,0.04773088444670195,0,64.10322796043855,85.32632496727228,105.40052724413192,123.16565632839765,138.3859442377231
4,472.31038449630574,3.382962949408758,0.04492411593492936,0,61.63535289645846,83.6828828366677,104.30555223365188,122.01844579969807,136.5555099972189
5,424.0318371014276,2.5604950403089424,0.04701380907390507,0,62.417986052315825,83.80623612673499,103.99195098294273,121.71767980246311,136.73354522149074
6,433.0430216182506,2.3779984613733385,0.04809995492840631,0,62.914043333927495,83.94133166508418,103.82847402517896,121.40822283128051,136.44361421243622
7,356.337667698266,2.383751503222421,0.04665893113214901,0,60.851473275105114,82.3828472007446,102.82880845193563,120.92478992158478,136.40504174377548
8,298.2498894635779,1.6661363779648175,0.04845646150608368,0,62.30188690875146,83.51276144131032,104.06456502416428,123.02466478640511,140.16552084913732
9,326.2332973485604,2.1646837602929465,0.046604006023277904,0,61.13314057571631,82.78174555591839,103.4521949318249,121.93417540080705,137.9612250519771
10,399.64270978090826,2.9161214996079474,0.04556610553146156,0,60.4367607246274,82.25402899407362,102.80198842030201,120.66309135992294,135.5629293620703
11,362.48096114362374,2.960305111965494,0.04421900192626281,0,59.89602981165636,82.25956797766118,103.37017378244985,121.7166836237488,137.00097734328276
12,345.6232698647611,2.6148210092801247,0.045569020782985595,0,59.73365987108786,81.59802812686209,102.31941954060525,120.51357599689284,135.89564257360718
13,418.22206756545626,1.902810813310316,0.050013706575128464,0,64.2077306794658,84.73418794053204,104.35647556469998,122.12326169561847,137.8234726655352
14,403.33423500272704,2.959679672890185,0.04451706636328714,0,61.736888786367714,84.05263308256285,105.05871119241105,123.29612153183292,138.48411566689208
15,470.72519690520613,2.632685266899911,0.047218928371939944,0,63.675715386829744,85.00268877137745,105.07046632886829,122.63676317261569,137.46183619158802
16,343.4861308049236,1.6113374566053436,0.050023670819439744,0,63.705219029422715,84.39131135297751,104.42563684345927,122.9751881415417,139.8379485167706
17,429.7249082402505,2.9230634823086152,0.04537193816868438,0,62.14628910516362,84.115366212861,104.76884279502302,122.70711179496733,137.6637913722952
18,416.7786238850034,2.341023645866156,0.04797251709192461,0,62.63993202662836,83.72134776342433,103.68617091089058,121.3657937149155,136.52006989312852
