,beta,s,rate,lambda,q=0.1,q=0.25,q=0.5,q=0.75,q=0.9
0,3263.6877293116304,0.5495100809135823,0.08466088703511924,0,77.22363621759185,91.15240454411055,106.53188218745615,124.37601735335669,144.87930311372082
1,2588.2222985494604,0.7161483502750595,0.07814601310046612,0,77.02407219828531,91.55994616721986,106.8383638601022,123.34223893669966,141.18447084865596
2,2162.106793701492,0.5930405701582837,0.07922080026130067,0,76.28659637972648,90.99259585504637,106.9884934442868,125.15587182279192,145.67783470639253
3,2879.082804007004,0.6165678054037218,0.08087440823401348,0,77.73740188326254,92.06678087197336,107.533219800051,124.91105488560088,144.3668250014776
4,3060.3003369634703,0.6095942376451635,0.08268522670008507,0,76.92131183679037,90.96058841973648,106.14599449821476,123.26094359459476,142.47244669723995
5,1860.3550937022014,0.704521066415755,0.07488119648857043,0,76.21974074871723,91.41189479640394,107.43027297833184,124.80781968872289,143.66794429028988
6,3584.71284689073,0.7159289441752255,0.08135273118387444,0,77.98735054244341,91.956428681449,106.635777116571,122.49234034439004,139.63554125404605
7,2674.957052768642,0.7303724011286808,0.07750815364796837,0,77.81017558834834,92.43107826059655,107.74838917787136,124.2123170813664,141.92884648301637
8,2746.045304596343,0.5487999080746128,0.08270092054007601,0,76.98605026006543,91.24556097471914,106.99623154446671,125.27843390858673,146.29124633875477
9,2073.882847909818,0.6747966095608883,0.07670539802983212,0,76.42340632063963,91.33976165617197,107.1822657797575,124.56066045439663,143.61359048903824
10,3123.143829587442,0.6214260793980241,0.08194621375010076,0,77.60783781673656,91.73530794087897,106.9603558256902,124.0301409212423,143.10640440745547
11,1718.8624495497543,0.7580826057884174,0.0732941970361864,0,75.72501236352885,91.10513582881724,107.13021444205259,124.1996978436417,142.4079844004734
12,2184.5446286125407,0.701745580816995,0.0768296690801941,0,76.42634566873534,91.2449516516511,106.87675404452676,123.85093897958673,142.29006841083876
13,3061.399940355251,0.6157603948678115,0.08185105310795375,0,77.57602358504755,91.73799241631362,107.0268275903443,124.21100065187413,143.45567300140408
14,3614.3601536593706,0.5868445710791065,0.08483108933030718,0,77.42226767112564,91.18479702949577,106.1794006355893,123.25719803357246,142.59371787472026
15,2383.0687509605295,0.6954536987845156,0.07764765243362101,0,76.86305145420916,91.5443608536215,107.0536273045619,123.93319594695399,142.30830542641982
16,3255.33179927952,0.6041086813366016,0.08349864000010712,0,77.02837535152788,90.94987122172132,106.03333581683712,123.07539882429106,142.24465595690336
17,2086.0728410168276,0.7717209275516312,0.07452081444501713,0,76.81229767123618,91.9139919127926,107.60040682908698,124.23507338940205,141.9044523603464
18,2102.4941077831195,0.667250406880734,0.0774630103692076,0,76.00877851679856,90.80150926084126,106.54360960130724,123.86271120147002,142.90070513861806
19,3231.418411401448,0.6283583948374171,0.08194093097063573,0,77.88118214066523,91.9880768308814,107.15906255284241,124.11704245577974,143.01982803206332
