,beta,s,rate,lambda,q=0.1,q=0.25,q=0.5,q=0.75,q=0.9
0,153561.70987736408,1376.4355687014206,0.03715300838009987,0,68.52530087049304,94.19127093974757,117.38455876138703,135.87553345847218,149.47258539573582
1,7423233925496.589,76369304773.25352,0.036778979984386624,0,65.78726305513341,91.52038996427419,114.87565761966732,133.52238776154428,147.23844157883576
2,0.5887984691722891,0.004623777616397596,0.03826008142133988,0,581.7291128187053,1612.3411068015805,3904.320239203512,7822.484445586524,13002.015790386275
3,139242601.17845085,1545597.3483215508,0.035303867322344536,0,66.5820709021292,93.26929019656902,117.55600676625532,136.96564828999303,151.2482899794868
4,78.80356239033786,0.7939876795490858,0.03676173817906793,0,68.00577031668813,97.03075907221019,128.07466485718393,161.14292328691042,196.15856009679436
5,1227724.402855972,13596.194032917927,0.03568056163352291,0,65.93807681629931,92.34751246157924,116.3796277242255,135.58556963097556,149.7185640474745
6,3.4437867672070913e-05,2.7130130524657814e-07,0.03828844562539253,0,inf,inf,inf,inf,inf
7,0.012242283425356035,0.00011172351386667079,0.03645006095154253,0,inf,inf,inf,inf,inf
8,24187761.21058731,193479.0561366471,0.03759819291747467,0,70.51515755430219,96.01418367905082,118.97900907157792,137.2625573477807,150.69711167178738
9,302511.0194218784,2371.4276463664,0.03855820801179276,0,69.24710064522957,94.13481951501268,116.53817423874791,134.37318685244279,147.47937934126335
10,102102.71388155883,842.7629197703438,0.03793781969271165,0,69.1174005564641,94.35447971770373,117.1068923205649,135.23279183807313,148.55943764796336
11,835084.5836693622,7892.168161598931,0.036439367589114514,0,68.53034691941347,94.62578358034123,118.24395517205404,137.08190021306166,150.93389980685245
12,215738601.25883275,1752862.5406496539,0.038353020360815546,0,68.74912819542469,93.72845528008422,116.2348669648119,134.15620741094557,147.32536726732772
13,433.2006151539827,5.055875473006493,0.03529424097207752,0,65.58405378505815,92.70646081446607,118.12285208487354,139.53559326949343,156.54160918004996
14,716390533.2569157,9140429.748871505,0.03413582479445615,0,65.19425804483194,92.5424962805583,117.56696025633211,137.60657598217512,152.36416650427932
15,35094110.437201455,402495.61601352156,0.035243257992779824,0,65.8584199381021,92.5367991569435,116.84513521643503,136.28080273644807,150.5850640826211
16,7118.309061304425,60.33747487917308,0.037501908224052756,0,69.28425332639507,94.81992556181329,117.90850664672683,136.38352508368388,150.05239258507262
17,12.954586109186522,0.12861652079013897,0.036937138896876456,0,77.38735866854937,127.09239672992,215.1353048692253,361.15249572106706,554.0268368635424
18,101415.8773033829,922.5206134241133,0.03698614015515055,0,68.46810915429081,94.23143611550712,117.52432401910252,136.0995296228078,149.76133533383594
19,15836346629.157495,175107645.2091062,0.03488800497656663,0,67.47570176312834,94.48744450154477,119.06601217758882,138.7078709883842,153.16109917680697
20,0.009586114002968238,9.284301791755762e-05,0.03677939397074408,0,inf,inf,inf,inf,inf
21,179409626608066.72,2034030988672.2556,0.03618758513589716,0,64.42776155747164,90.42895061559177,114.10994029819786,133.04096505964782,146.9729513645677
22,1.7230920436486894,0.02094071937301364,0.03595990669880472,0,154.9711133504317,397.1658482139686,935.6133228955392,1856.0953391041548,3072.906377168888
23,72844.60511758822,666.0761984934329,0.03684888075721693,0,68.59393285237275,94.44735636498753,117.82680280329934,136.47421680276145,150.19173935460012
24,242568.1673983518,2853.952399652475,0.034967105906577305,0,65.7214887072287,92.56730209418183,117.05332755003921,136.6399694526065,151.05935512889818
25,57816194.68815902,530136.8087373162,0.03693244475702411,0,68.36724547609897,94.1547696073214,117.47174306899717,136.0624025125724,149.73008235397896
26,12097.486562135626,86.71683859106241,0.03950446574184559,0,69.71684377969434,94.12698108004204,116.0840602611842,133.60159035215193,146.52800180279527
27,27.150870744662576,0.24607415577361097,0.036773058814006415,0,74.55236568303302,111.90123468972568,164.76500181554084,242.88444647359046,344.2359067871473
28,18.854263631435405,0.18742427100812567,0.035944779802543396,0,75.75231475193597,118.05476123705213,183.92895467553072,287.46080629775093,423.4870973307275
29,9522725.684152573,83877.1484896218,0.03682633693010695,0,69.56991024589252,95.484480637618,118.88778676433304,137.53904638031852,151.249018601449
30,192304.5225473949,1772.3336037727383,0.036860713474323084,0,68.3736219162783,94.20588918960652,117.56885315792577,136.20007696011436,149.90098298319717
31,0.0004924389292745787,4.807756109232298e-06,0.03612952166250689,0,inf,inf,inf,inf,inf
32,1758303473.3772376,16392065.694095459,0.0370045580076085,0,67.8220592627312,93.5371278061995,116.80059734333248,135.35208112861048,148.9919265786441
33,3.851397521922276e+16,310282892835617.5,0.038184949511364065,0,69.25783745046098,94.35686582781071,116.96584662658394,134.96733546790634,148.1949631174709
