,beta,s,rate,lambda,q=0.1,q=0.25,q=0.5,q=0.75,q=0.9
0,113.27474719301895,0.6652690330389815,0.05896414691780655,0,51.173627048002345,70.07073954327461,90.58809444507217,113.32262033241209,138.3779636270024
1,116.89678042266013,0.6791953242777695,0.05917977863085935,0,51.133312779321024,69.91534175730442,90.22896271404878,112.61478034775199,137.16630947778432
2,98.30669435002415,0.6769668694624592,0.058087355892494294,0,49.32804515652997,68.36850400801697,89.0495896581323,111.88779315685481,136.96391695320276
3,85.36183605947268,0.6515395789399604,0.05665918313718055,0,48.91535715904901,68.46520071012463,89.8991008274431,113.82765555886144,140.34263011298987
4,148.507954294746,0.5738134986886172,0.06532670345215207,0,52.53283020104315,70.13377039554946,89.64942459138885,112.10891918461733,137.696983351823
5,104.21873083846413,0.6945612382788305,0.05811898224744547,0,49.80009641757215,68.78695346707386,89.30267605349744,111.80298280810325,136.35844686989694
6,112.42715922859732,0.736983957925267,0.056915217070736414,0,51.053524183345985,70.30751899063148,90.89855922556825,113.14297896043706,137.08263599584467
7,119.40852057660918,0.5034487418226393,0.06559313688556695,0,51.2288809761592,69.10800417557564,89.51094939776729,113.8975615685179,142.48270327668357
8,143.6619439590076,0.658802048159441,0.06263670217964794,0,51.96329418501948,69.89189910380522,89.30518911365542,110.84012024720695,134.61715336819296
9,134.10206083587357,0.6346056003593058,0.062266262427589474,0,51.83555278551551,69.95090746125142,89.71062068690532,111.8528424976584,136.51466530039522
10,144.52046240570388,0.5654761800278467,0.06471246642263342,0,52.86422447552363,70.66831181845916,90.47087939756369,113.35568496285568,139.5139204701294
11,104.94267892126196,0.6356026172407561,0.0599547678084711,0,49.90026150216709,68.58561231480971,89.05434715997106,112.01572372607794,137.59175760046443
12,115.97740688606619,0.6537546185919645,0.05992308580751316,0,51.0294667128043,69.69059421760913,89.99871066359624,112.59904773700246,137.60588189908464
13,137.74712096640857,0.5246725998899502,0.06646876849459575,0,51.967871283929966,69.52200016775183,89.34678117199584,112.74946920402941,139.93983254863545
14,127.82489068215605,0.6588528566862777,0.06074255045148275,0,51.73798950595407,70.17250045362536,90.17266481569459,112.37251214496021,136.88792985231095
15,126.28652693527224,0.5286165333483143,0.06566773724078874,0,51.201111990370954,68.9144128237392,88.91297964171117,112.47951300786998,139.81922816799405
16,127.07730269702694,0.544455250476352,0.06421412712941008,0,51.965343838737994,69.98310844410152,90.20603526412432,113.83862972683524,141.0810122581301
17,132.61566043361282,0.6300835927278157,0.06244759982374373,0,51.633017279844275,69.71229132063502,89.460115430292,111.63206755668111,136.36793357000906
18,148.24198453531758,0.5301866864777083,0.06681379391565444,0,52.59743383283663,70.05038730886297,89.70107253071131,112.82255736942682,139.62419425000854
19,132.85355072476204,0.5789776025339536,0.06331497372895498,0,52.35347771317742,70.44420449463277,90.50143343968669,113.53908353298588,139.73718151930078
20,141.4485969648991,0.5170550755229038,0.06774958342440786,0,51.59574124979083,68.87354766068104,88.43752390353795,111.62647844399514,138.65147134765027
21,107.29250544090797,0.6302561054119687,0.059073027096219255,0,51.148965171641386,70.15324855593846,90.99090186319768,114.41437218280373,140.55440926200194
22,118.48213715026435,0.7083103523322847,0.05832244632450109,0,51.36703513951645,70.30536925056107,90.652506296442,112.839071096854,136.93532305195177
23,125.4094068192471,0.5900831428295003,0.061957102905804536,0,52.28282603603997,70.68496621035726,91.0355121103808,114.29593390057256,140.6372928930084
24,135.93239144523517,0.6389011143741851,0.06251593174829365,0,51.72435990594587,69.75322036443978,89.39195117881546,111.35806030283632,135.78535909361915
25,115.67943908368976,0.6560584017880333,0.05993187916733797,0,50.920530428745636,69.56669664680719,89.84807617579018,112.39856513502428,137.33014673221913
26,111.01857960092117,0.5943716010970544,0.06066297672371985,0,51.3479374563733,70.06185641710155,90.77419896188434,114.41789301243877,141.15490463308137
27,120.6018654033595,0.6650821897036199,0.06031767045723256,0,51.01988265773572,69.5269670916941,89.59708409850703,111.82861902496896,136.32826342245252
28,144.22217422929972,0.549809576568796,0.06540175874119428,0,52.73276166202479,70.43656751540148,90.23434467269347,113.29375094914364,139.8148444614774
29,120.70110293704381,0.6504072391207494,0.05996527650286893,0,51.71714370676631,70.40159928342578,90.73658258981172,113.39122921384009,138.48596809580724
