,rate,beta,s,lambda,q=0.1,q=0.25,q=0.5,q=0.75,q=0.9
0,0.1478845978874649,88762.2794728333,0.6383745182058228,0.002037477842068179,47.7,68.10000000000001,78.9,88.80000000000001,99.10000000000001
1,0.1456864485849331,76601.20223011202,0.6114080399057117,0.0019542748832554273,48.900000000000006,68.60000000000001,79.60000000000001,89.80000000000001,100.7
2,0.13421782035889257,41989.21465507293,0.7662725431992766,0.001802217652283551,50.2,68.7,79.7,89.60000000000001,99.5
3,0.16492613618836283,192569.74321622477,0.49640046707957336,0.0016380522338077723,53.7,68.60000000000001,78.4,88.5,99.9
4,0.11657283068617921,8351.580730825546,0.8229030124896156,0.0017614976693316286,46.900000000000006,65.10000000000001,77.2,88.2,99.0
5,0.11581987753424824,8945.544447381772,0.8446961052688788,0.0011986407538919258,52.900000000000006,67.5,78.9,89.5,100.2
6,0.11294452175380662,8549.274512021517,0.9293114537504402,0.0015554940292909763,49.5,66.8,78.80000000000001,89.4,99.7
7,0.11455072993336952,9551.705285716223,0.8885293919862858,0.001349789948328648,52.1,67.9,79.5,90.10000000000001,100.5
8,0.1352892871572366,46151.17087082921,0.7088505938329198,0.0019323716083870437,48.800000000000004,69.0,80.4,90.60000000000001,101.0
9,0.14084521905300382,61630.06269674817,0.6903595592268335,0.0018313324363770044,50.400000000000006,68.9,79.7,89.60000000000001,99.80000000000001
10,0.13987164275722266,57495.466937735575,0.691714111632202,0.0016116977203336836,53.1,69.5,80.10000000000001,89.9,100.2
11,0.1611667103191931,173892.58877768775,0.5389648669371472,0.0022614099221837975,44.800000000000004,67.2,77.9,87.9,98.7
12,0.1177643227683364,16152.594815341246,1.0187756996982276,0.001760825111357388,48.800000000000004,67.8,79.60000000000001,89.60000000000001,99.0
13,0.138417161967161,38467.669642956695,0.5851829023750728,0.0020852502507622667,46.2,67.3,79.10000000000001,90.10000000000001,101.9
14,0.11911965740666171,14725.339891140717,0.9401106560773537,0.0017555363951829337,48.5,67.0,78.80000000000001,89.0,98.7
15,0.12961217858315652,26136.726223028894,0.7873161965042276,0.0015171127581770725,52.400000000000006,68.2,79.10000000000001,89.0,99.10000000000001
16,0.13072423115461038,21523.128943883803,0.6155968463305733,0.001123219630772394,56.2,69.5,80.30000000000001,91.30000000000001,103.30000000000001
17,0.12707511711044178,24762.172005219658,0.7154769054544363,0.0022393185806578457,43.800000000000004,67.4,80.10000000000001,91.0,102.0
18,0.135347619162886,50666.42549402294,0.7755148761186696,0.0015060405858576776,54.400000000000006,70.3,80.7,90.4,100.10000000000001
19,0.11164908213343527,6909.440002607855,0.8976847290378582,0.001168769926189549,52.5,67.3,78.80000000000001,89.60000000000001,100.2
20,0.1364292873634589,43895.00630038281,0.7311387388868066,0.0017284245921838654,51.0,68.5,79.4,89.30000000000001,99.4
21,0.1103182587389813,7107.669431112655,0.996077243149567,0.0014841114855152727,49.5,66.3,78.30000000000001,88.80000000000001,99.0
22,0.12225454250206035,15467.231539401808,0.8707416673597818,0.0015696724096373746,50.5,67.0,78.30000000000001,88.4,98.4
23,0.14446273122297473,62834.407848959476,0.5816416215033641,0.0019148372276739504,49.2,68.4,79.5,90.10000000000001,101.4
24,0.16088317034453772,182287.10436051773,0.5248967329869608,0.00182856779567032,51.5,69.0,79.10000000000001,89.2,100.30000000000001
25,0.14183547964984977,59314.93536572302,0.6375415424311762,0.001408264590326693,55.5,70.0,80.30000000000001,90.4,101.2
26,0.12337926842755793,16410.88943378248,0.7387020543136285,0.0019408144937940455,46.900000000000006,67.10000000000001,79.30000000000001,90.30000000000001,101.30000000000001
27,0.11848358452515488,10622.482935474934,0.8160160517574916,0.0022769789472847773,41.7,64.3,77.30000000000001,88.30000000000001,99.10000000000001
28,0.13746918744447398,54150.42991874133,0.692543568659196,0.0020659373712738284,47.1,68.8,80.30000000000001,90.5,101.0
29,0.14161767783466575,57395.80265835601,0.6098001334727415,0.0016969163010787506,52.2,69.4,80.30000000000001,90.7,101.9
30,0.1376945368068144,48266.96808986781,0.6999355715389403,0.0018481694818031531,49.800000000000004,68.60000000000001,79.60000000000001,89.60000000000001,100.0
31,0.15598050957994153,128868.18909576428,0.542236486140642,0.0024587570402838372,41.800000000000004,66.8,78.2,88.5,99.7
32,0.1276797738408384,19955.753930072733,0.6958800566951369,0.0018085828383146904,48.800000000000004,67.3,79.10000000000001,89.9,101.10000000000001
33,0.1354243161212495,34855.79224563141,0.6151891275002781,0.001929179098542746,48.400000000000006,68.10000000000001,79.80000000000001,90.7,102.30000000000001
34,0.14547965719677003,64611.334926973395,0.5563741070678886,0.0020160074329011197,47.900000000000006,68.10000000000001,79.4,90.2,101.9
