,rate,beta,s,lambda,q=0.1,q=0.25,q=0.5,q=0.75,q=0.9
1208,0.14669661820071803,6030873.382609832,0.5688692795286828,0.0011515198300959472,80.60000000000001,99.4,110.10000000000001,120.60000000000001,132.1
1209,0.1595239350196156,18615480.68022336,0.5066032251093148,0.0012065880046635282,79.80000000000001,99.10000000000001,109.4,119.80000000000001,131.4
1210,0.18459100699404324,137731276.6889686,0.39446487272414027,0.0011191522708456755,83.0,98.5,108.0,118.60000000000001,131.20000000000002
1211,0.12742922826721445,790190.9665089144,0.7001054577135938,0.001009054042480239,80.4,97.4,108.7,119.4,130.6
1212,0.15408828722325987,10892429.527711414,0.5246743233884,0.0011825353666259969,80.0,99.0,109.5,120.0,131.70000000000002
1213,0.15240713190393998,8206550.038051449,0.5123419225016733,0.0011537865566215197,80.30000000000001,98.60000000000001,109.10000000000001,119.9,131.9
1214,0.15393034132207414,12780000.716469204,0.5588199846088179,0.0011629822626098285,81.0,99.7,110.0,120.10000000000001,131.20000000000002
1215,0.1544714066576084,11656788.365832409,0.5003174754365833,0.0010706648738694148,83.30000000000001,100.0,110.4,121.10000000000001,133.20000000000002
1216,0.14618016758854938,5514655.442131338,0.5635285897580817,0.0011049839824573565,81.60000000000001,99.5,110.10000000000001,120.7,132.3
1217,0.13027460800266677,899238.3453390007,0.6355509844374432,0.0009226304684227349,82.0,97.5,108.60000000000001,119.60000000000001,131.4
1218,0.14764344925691852,5858432.990377225,0.5495048263303111,0.0009741655323369604,84.30000000000001,99.60000000000001,110.0,120.5,132.3
1219,0.14340516802365746,3889539.7655826164,0.5552559799508736,0.00102465911142468,83.0,99.4,110.10000000000001,121.0,132.9
1220,0.12363167897716405,453504.25606381113,0.719009692905947,0.0009448140575093574,79.9,96.10000000000001,107.4,118.2,129.5
1221,0.13839436510895542,2570457.17923447,0.6224139885426833,0.0009931377244479967,83.0,99.2,109.9,120.4,131.70000000000002
1222,0.176318572047818,85189391.04759403,0.4344018623085483,0.0012632406863944002,79.0,99.10000000000001,109.0,119.4,131.5
1223,0.16652088825141798,40963073.49897354,0.49027656915317686,0.0011174638192320118,83.30000000000001,100.30000000000001,110.0,120.2,131.6
1224,0.17398587457507983,60218838.49994022,0.41848584294347346,0.0012988161293209276,77.4,98.60000000000001,108.80000000000001,119.60000000000001,132.20000000000002
1225,0.13742849527563597,2282079.854193759,0.663621008268777,0.0011631531996820156,78.60000000000001,97.80000000000001,108.80000000000001,119.10000000000001,129.9
1226,0.14715137630174113,6086402.38195581,0.5755670904597571,0.0011559816398422171,80.30000000000001,99.10000000000001,109.7,120.10000000000001,131.4
1227,0.1600843743925975,21247961.768453516,0.4937542447118889,0.0013721600734744434,74.4,99.10000000000001,109.80000000000001,120.30000000000001,132.20000000000002
1228,0.15088692184157218,7395538.550864695,0.514682674830426,0.0010932742369254372,81.9,99.10000000000001,109.60000000000001,120.4,132.6
1229,0.18113500718122288,95637415.54865122,0.38028078372301694,0.0010584497180114387,84.2,98.80000000000001,108.5,119.60000000000001,132.9
1230,0.11846443279041581,246366.43150748717,0.7585316664574289,0.0008730080768643774,79.4,95.0,106.4,117.4,128.70000000000002
1231,0.1447941425004384,4476224.094972228,0.5970930072952347,0.0010276178680518548,82.60000000000001,98.9,109.30000000000001,119.5,130.70000000000002
1232,0.1435573071343139,3782261.3500835053,0.5331745226886817,0.0010020483415538934,83.4,99.60000000000001,110.30000000000001,121.4,133.8
1233,0.160640391330048,19532657.14840425,0.4694100989269146,0.0012537153196906143,78.5,99.10000000000001,109.60000000000001,120.5,132.8
1234,0.15942865019844188,18934335.635330033,0.5040301884343644,0.00101098673484369,84.9,100.10000000000001,110.0,120.4,132.1
1235,0.13795094998558813,2951473.3448677137,0.6784076464631339,0.0009251545144225002,84.80000000000001,100.10000000000001,110.4,120.5,131.1
1236,0.1539376536716692,12024032.623379707,0.5334689469045529,0.001108238522716215,82.4,99.9,110.2,120.60000000000001,132.1
1237,0.15940191416426536,20051604.526166044,0.5222514023878485,0.001088485973999703,83.30000000000001,99.9,109.9,120.0,131.4
